T00007	eco	Escherichia coli K-12 MG1655
T00068	ecj	Escherichia coli K-12 W3110
T00666	ecd	Escherichia coli K-12 DH10B
T00913	ebw	Escherichia coli K-12 BW2952
T02541	ecok	Escherichia coli K-12 MDS42
T00044	ece	Escherichia coli O157:H7 EDL933 (EHEC)
T00048	ecs	Escherichia coli O157:H7 Sakai (EHEC)
T00778	ecf	Escherichia coli O157:H7 EC4115 (EHEC)
T00949	etw	Escherichia coli O157:H7 TW14359 (EHEC)
T02122	elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
T01097	eoi	Escherichia coli O111:H- 11128 (EHEC)
T01098	eoj	Escherichia coli O26:H11 11368 (EHEC)
T01096	eoh	Escherichia coli O103:H2 12009 (EHEC)
T03010	ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
T03011	ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
T02257	esl	Escherichia coli O104:H4 2011C-3493 (EAEC)
T02256	eso	Escherichia coli O104:H4 2009EL-2071 (EAEC)
T02316	esm	Escherichia coli O104:H4 2009EL-2050 (EAEC)
T00826	eck	Escherichia coli 55989 (EAEC)
T00796	ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
T01190	eok	Escherichia coli O55:H7 CB9615 (EPEC)
T02066	elr	Escherichia coli O55:H7 RM12579 (EPEC)
T02069	elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
T00590	ecw	Escherichia coli O139:H28 E24377A (ETEC)
T02001	eun	"Escherichia coli UMNK88 (ETEC, porcine)"
T00373	ecp	Escherichia coli O6:K15:H31 536 (UPEC)
T01998	ena	Escherichia coli NA114 (UPEC)
T04373	ecos	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)
T00425	ecv	Escherichia coli APEC O1 (APEC)
T02445	ecoa	Escherichia coli APEC O78 (APEC)
T00591	ecx	Escherichia coli O9 HS (commensal)
T00672	ecm	Escherichia coli SMS-3-5 (environmental)
T00784	ecy	Escherichia coli O152:H28 SE11 (commensal)
T00828	ecr	Escherichia coli O8 IAI1 (commensal)
T00827	ecq	Escherichia coli O81 ED1a (commensal)
T00831	eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
T00829	ect	Escherichia coli O7:K1 IAI39 (ExPEC)
T01999	eoc	Escherichia coli O7:K1 CE10
T00944	ebr	Escherichia coli B REL606
T00931	ebl	Escherichia coli BL21(DE3)
T02096	ebe	Escherichia coli BL21(DE3)
T00939	ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
T00338	eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
T01997	eih	Escherichia coli O18:K1:H7 IHE3034 (ExPEC)
T00830	ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
T00106	ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
T02067	elo	Escherichia coli O44:H18 042 (EAEC)
T02068	eln	Escherichia coli O83:H1 NRG 857C (AIEC)
T02077	ese	Escherichia coli O150:H5 SE15 (commensal)
T00697	ecl	Escherichia coli ATCC 8739
T01718	eko	Escherichia coli KO11FL
T02104	ekf	Escherichia coli KO11FL
T01995	eab	Escherichia coli ABU 83972
T01996	edh	Escherichia coli DH1
T02102	edj	Escherichia coli DH1
T02000	elu	Escherichia coli UM146
T02002	elw	Escherichia coli W
T02101	ell	Escherichia coli W
T02003	elc	Escherichia coli clone D i14
T02004	eld	Escherichia coli clone D i2
T02030	elp	Escherichia coli P12b
T00854	elf	Escherichia coli LF82
T02846	ecol	Escherichia coli LY180
T02847	ecoi	Escherichia coli O18:K1 PMV-1 (ExPEC)
T02896	ecoj	Escherichia coli JJ1886
T00811	efe	Escherichia fergusonii
T03986	eal	Escherichia albertii
T05353	ema	Escherichia marmotae
T06276	esz	Escherichia sp. E4742
T00064	sty	Salmonella enterica subsp. enterica serovar Typhi CT18
T00121	stt	Salmonella enterica subsp. enterica serovar Typhi Ty2
T01741	sex	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
T02648	sent	Salmonella enterica subsp. enterica serovar Typhi Ty21a
T00065	stm	Salmonella enterica subsp. enterica serovar Typhimurium LT2
T01714	seo	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
T01715	sev	Salmonella enterica subsp. enterica serovar Typhimurium D23580
T01724	sey	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
T01742	sem	Salmonella enterica subsp. enterica serovar Typhimurium T000240
T01743	sej	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
T01760	seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
T01782	sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
