accession	name	direct_parent	kingdom	super_class	class	sub_class	type	putative
HMDB0000001	1-Methylhistidine	Histidine and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	sub_class	Amino acids, peptides, and analogues
HMDB0000002	1,3-Diaminopropane	Monoalkylamines	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	sub_class	Amines
HMDB0000005	2-Ketobutyric acid	Short-chain keto acids and derivatives	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	sub_class	Short-chain keto acids and derivatives
HMDB0000010	2-Methoxyestrone	Estrogens and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids	sub_class	Estrane steroids
HMDB0000015	Cortexolone	21-hydroxysteroids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	sub_class	Hydroxysteroids
HMDB0000017	4-Pyridoxic acid	Pyridinecarboxylic acids	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives	sub_class	Pyridinecarboxylic acids and derivatives
HMDB0000020	p-Hydroxyphenylacetic acid	1-hydroxy-2-unsubstituted benzenoids	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	sub_class	1-hydroxy-2-unsubstituted benzenoids
HMDB0000031	Androsterone	Androgens and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Androstane steroids	sub_class	Androstane steroids
HMDB0000032	7-Dehydrocholesterol	Cholesterols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids	sub_class	Cholestane steroids
HMDB0000034	Adenine	6-aminopurines	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	sub_class	Purines and purine derivatives
HMDB0000036	Taurocholic acid	Trihydroxy bile acids, alcohols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	sub_class	Bile acids, alcohols and derivatives
HMDB0000039	Butyric acid	Straight chain fatty acids	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	sub_class	Fatty acids and conjugates
HMDB0000042	Acetic acid	Carboxylic acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	sub_class	Carboxylic acids
HMDB0000044	Ascorbic acid	Butenolides	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	sub_class	Furanones
HMDB0000048	Melibiose	O-glycosyl compounds	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	sub_class	Carbohydrates and carbohydrate conjugates
HMDB0000062	L-Carnitine	Carnitines	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	sub_class	Quaternary ammonium salts
HMDB0000068	Epinephrine	Catechols	Organic compounds	Benzenoids	Phenols	Benzenediols	sub_class	Benzenediols
HMDB0000072	cis-Aconitic acid	Tricarboxylic acids and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	sub_class	Tricarboxylic acids and derivatives
HMDB0000076	Dihydrouracil	Pyrimidones	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	sub_class	Pyrimidines and pyrimidine derivatives
HMDB0000086	Glycerophosphocholine	Glycerophosphocholines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	sub_class	Glycerophosphocholines
HMDB0000108	Ethanol	Primary alcohols	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	sub_class	Alcohols and polyols
HMDB0000114	Glycerylphosphorylethanolamine	Glycerophosphoethanolamines	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	sub_class	Glycerophosphoethanolamines
HMDB0000126	Glycerol 3-phosphate	Glycerophosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	sub_class	Glycerophosphates
HMDB0000134	Fumaric acid	Dicarboxylic acids and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives	sub_class	Dicarboxylic acids and derivatives
HMDB0000152	Gentisic acid	Hydroxybenzoic acid derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	sub_class	Benzoic acids and derivatives
HMDB0000197	Indoleacetic acid	Indole-3-acetic acid derivatives	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	sub_class	Indolyl carboxylic acids and derivatives
